Cancer_type_acronym	Cancer_type_name	EFO_id	EFO_name	Source
NPC	Nasopharyngeal Carcinoma	MONDO_0005375	nasopharyngeal neoplasm	Dataset from intOGen
PCM	Plasma Cell Myeloma	MONDO_0009693	plasma cell myeloma	Dataset from intOGen
PSCC	Penile Squamous Cell Carcinoma	MONDO_0018352	squamous cell carcinoma of penis	Dataset from intOGen
NHL	Non-Hodgkin Lymphoma	MONDO_0018908	non-Hodgkin lymphoma	Dataset from intOGen
ES	Ewing Sarcoma	MONDO_0012817	Ewing sarcoma	Dataset from intOGen
ANSC	Anal Squamous Cell Carcinoma	MONDO_0006082	anal squamous cell carcinoma	Dataset from intOGen
LIHB	Hepatoblastoma	MONDO_0018666	hepatoblastoma	Dataset from intOGen
GINET	Gastrointestinal Neuroendocrine Tumors	MONDO_0024503	digestive system neuroendocrine neoplasm	Dataset from intOGen
SACA	Salivary Carcinoma	MONDO_0000521	salivary gland carcinoma	Dataset from intOGen
CLLSLL	Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma	MONDO_0004948	B-cell chronic lymphocytic leukemia	Dataset from intOGen
SBC	Small Bowel Cancer	MONDO_0000956	small intestine cancer	Dataset from intOGen
VULVA	Vulva/Vagina	MONDO_0001402	vaginal cancer	Dataset from intOGen
LGGNOS	Low-Grade Glioma, NOS	MONDO_0021637	low grade glioma	Dataset from intOGen
HGGNOS	High-Grade Glioma, NOS	MONDO_0100342	malignant glioma	Dataset from intOGen
PANCREAS	Pancreas	MONDO_0009831	malignant pancreatic neoplasm	Dataset from intOGen
DLBCLNOS	Diffuse Large B-Cell Lymphoma, NOS	MONDO_0018905	diffuse large B-cell lymphoma	Dataset from intOGen
