studyId	studyType	analysisFlag	qualityControl	isCurated
GCST004620				TRUE
GCST004627				TRUE
GCST004599				TRUE
GCST004618				TRUE
GCST004624				TRUE
GCST004621				TRUE
GCST004616				TRUE
GCST006620			Failed summary statistics quality control	TRUE
GCST006554				TRUE
GCST006546				TRUE
GCST003967				TRUE
GCST006545				TRUE
GCST006548				TRUE
GCST006537				TRUE
GCST006533				TRUE
GCST003973				TRUE
GCST006542				TRUE
GCST006550				TRUE
GCST003970				TRUE
GCST006552				TRUE
GCST006549				TRUE
GCST003972				TRUE
GCST006543				TRUE
GCST006544				TRUE
GCST006538				TRUE
GCST006540				TRUE
GCST006553				TRUE
GCST003965				TRUE
GCST006534				TRUE
GCST003971				TRUE
GCST006547				TRUE
GCST003969				TRUE
GCST006551				TRUE
GCST003968				TRUE
GCST003966				TRUE
GCST003900				TRUE
GCST004432	pQTL			TRUE
GCST004447	pQTL			TRUE
GCST004423	pQTL			TRUE
GCST004438	pQTL			TRUE
GCST004428	pQTL			TRUE
GCST004429	pQTL			TRUE
GCST004443	pQTL			TRUE
GCST004437	pQTL			TRUE
GCST004454	pQTL			TRUE
GCST004459	pQTL			TRUE
GCST004453	pQTL			TRUE
GCST004424	pQTL			TRUE
GCST004427	pQTL			TRUE
GCST004448	pQTL			TRUE
GCST004460	pQTL			TRUE
GCST004456	pQTL			TRUE
GCST004445	pQTL			TRUE
GCST004439	pQTL			TRUE
GCST004434	pQTL			TRUE
GCST004430	pQTL			TRUE
GCST004421	pQTL			TRUE
GCST004457	pQTL			TRUE
GCST004452	pQTL			TRUE
GCST004426	pQTL			TRUE
GCST004449	pQTL			TRUE
GCST004440	pQTL			TRUE
GCST004441	pQTL			TRUE
GCST004425	pQTL			TRUE
GCST004458	pQTL			TRUE
GCST004435	pQTL			TRUE
GCST004420	pQTL			TRUE
GCST004451	pQTL			TRUE
GCST004450	pQTL			TRUE
GCST004431	pQTL			TRUE
GCST004422	pQTL			TRUE
GCST004433	pQTL			TRUE
GCST004442	pQTL			TRUE
GCST004444	pQTL			TRUE
GCST004455	pQTL			TRUE
GCST004446	pQTL			TRUE
GCST004436	pQTL			TRUE
GCST004030				TRUE
GCST004132				TRUE
GCST004131				TRUE
GCST004133				TRUE
GCST004137				TRUE
GCST004075				TRUE
GCST004076				TRUE
GCST004074				TRUE
GCST004158			Failed summary statistics quality control	TRUE
GCST006661			Failed summary statistics quality control	TRUE
GCST004461				TRUE
GCST004296				TRUE
GCST004292				TRUE
GCST004293				TRUE
GCST004198				TRUE
GCST004487				TRUE
GCST006675				TRUE
GCST004489				TRUE
GCST004488				TRUE
GCST006676				TRUE
GCST006677				TRUE
GCST006679				TRUE
GCST006681				TRUE
GCST006678				TRUE
GCST004575				TRUE
GCST004364			Failed summary statistics quality control	TRUE
GCST004750				TRUE
GCST004746				TRUE
GCST004744				TRUE
GCST004749				TRUE
GCST004747				TRUE
GCST004748				TRUE
GCST006487				TRUE
GCST004695				TRUE
GCST006488				TRUE
GCST004733				TRUE
GCST004734				TRUE
GCST004732			Failed summary statistics quality control	TRUE
GCST004787				TRUE
GCST004770				TRUE
GCST004772				TRUE
GCST004824				TRUE
GCST004826				TRUE
GCST004833				TRUE
GCST006288			Failed summary statistics quality control	TRUE
GCST004929		Multivariate analysis		TRUE
GCST004928		Multivariate analysis		TRUE
GCST004925		Multivariate analysis		TRUE
GCST004927		Multivariate analysis		TRUE
GCST004930		Multivariate analysis		TRUE
GCST004924		Multivariate analysis		TRUE
GCST004931		Multivariate analysis		TRUE
GCST004932		Multivariate analysis		TRUE
GCST004926		Multivariate analysis		TRUE
GCST005073			Failed summary statistics quality control	TRUE
GCST005059			Failed summary statistics quality control	TRUE
